date,latitude,longitude,parameter,value,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-09-14,41.449722,-8.296389,pm10,18.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,29.3,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,18.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,21.9,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,17.7,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,13.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,13.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,20.4,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,19.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,20.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,26.7,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,20.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,pm10,2.0,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-14,41.449722,-8.296389,no2,28.4,75.1,62.4,66.8,66.8,62.9,87.9,,0.494,0,6.6,1009.6,58.5,6.8,88.4,7.7,3
2021-09-11,41.449722,-8.296389,pm10,8.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,64.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,no2,51.2,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
2021-09-11,41.449722,-8.296389,pm10,0.0,75.9,58.1,66.6,66.6,59.7,80.1,,0.001,0,7.7,1017.5,53.2,6.7,175.8,15.3,7
